,DC,DD,DW,EH,EV,ES,EL,PS,CR,SH,LL,WA,WS,WL,FR,TU,TG,SE,EQ,BL,IC,CT,CV
str_I,1.25,1.4,1.5,1.5,1.35,1.5,1,1,1.25,1.25,1.75,1,0,0,1,1.2,1,1,0,0,0,0,0
str_II,1.25,1.4,1.5,1.5,1.35,1.5,1,1,1.25,1.25,1.35,1,0,0,1,1.2,1,1,0,0,0,0,0
str_III,1.25,1.4,1.5,1.5,1.35,1.5,1,1,1.25,1.25,0,1,1,0,1,1.2,1,1,0,0,0,0,0
str_IV,1.5,1.4,1.5,1.5,1.35,1.5,1,1,1.25,1.25,0,1,0,0,1,1.2,0,0,0,0,0,0,0
str_V,1.25,1.4,1.5,1.5,1.35,1.5,1,1,1.25,1.25,1.35,1,1,1,1,1.2,1,1,0,0,0,0,0
ee_I,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
ee_II,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,1,0,0,0,0,1,1,1,1
ser_I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,0,0,0,0,0
ser_II,1,1,1,1,1,1,1,1,1,1,1.3,1,0,0,1,1.2,0,0,0,0,0,0,0
ser_III,1,1,1,1,1,1,1,1,1,1,0.8,1,0,0,1,1.2,1,1,0,0,0,0,0
ser_IV,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1.2,0,1,0,0,0,0,0
